C C
C#C C#[CH:1]
C#C [CH:1]#[CH:2]
C#CC C#C[CH3:1]
C#CC C(#[CH:1])[CH3:2]
C#CC CC#[CH:1]
C#N C#[N:1]
C#N N#[CH:1]
C#N [N:1]#[CH:2]
C1=C2CNCC2=CS1 C1=C2CNCC2=[CH:1]S1
C1=C2CNCC2=CS1 C1=C2C[NH:2]CC2=[CH:1]S1
C1=C2COCC2=CS1 C1=C2COCC2=[CH:1]S1
C1=C2COCC2=CS1 C1OCC2=[CH:2]S[CH:1]=C12
C1=C2OCCOC2=CS1 C1=C2OCCOC2=[CH:1]S1
C1=C2OCCOC2=CS1 C1=C2OC[CH2:1]OC2=CS1
C1=C2OCCOC2=CS1 C1=C2O[CH2:1][CH2:2]OC2=[CH:2]S1
C1=C2OCCOC2=CS1 C1=C2O[CH2:2][CH2:2]OC2=[CH:1]S1
C1=C2OCCOC2=CS1 C1COC2=[CH:2]S[CH:1]=C2O1
C1=CC2=C(C=C1)C1=C([NH]2)C2=CC=CC=C2[NH]1 C1=C2C(=C[CH:2]=C1)C1=C(C3=C(C=[CH:1][CH:2]=C3)[NH:2]1)[NH:2]2
C1=CC2=C(C=C1)C1=C([NH]2)C2=CC=CC=C2[NH]1 C1=C2C(=[CH:2][CH:2]=C1)C1=C(C3=C(C=[CH:1][CH:2]=[CH:2]3)[NH:2]1)[NH:2]2
C1=CC2=C(C=C1)C1=C([NH]2)C2=CC=CC=C2[NH]1 C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=C1C=C[CH:1]=C2
C1=CC2=C(C=C1)C1=CC=CC=C1[NH]2 C1=C2C(=C[CH:2]=C1)C1=C(C=[CH:1][CH:2]=C1)[NH:2]2
C1=CC2=C(C=C1)C1=CC=CC=C1[NH]2 C1=CC=C2C(=C1)C1=C([CH:1]=CC=C1)[NH:2]2
C1=CC2=C(C=C1)C1=CC=CC=C1[NH]2 C1=CC=C2C(=C1)[NH]C1=C2C=CC=[CH:1]1
C1=CC2=C(C=C1)C1=CC=CC=C1[NH]2 C1=CC=C2C(=C1)[NH]C1=C2C=C[CH:1]=C1
C1=CC2=C(C=C1)CNC2 C1=CC2=C(CNC2)[CH:1]=C1
C1=CC2=C(C=C1)CNC2 C1=CC2=C([CH:1]=C1)[CH2:2][NH:2][CH2:2]2
C1=CC2=C(C=CC3=C2C=CS3)S1 C1=CC2=C(C=CC3=C2C=[CH:1]S3)S1
C1=CC2=C(C=CC3=C2C=CS3)S1 C1=CC2=C(C=[CH:1]C3=C2C=CS3)S1
C1=CC2=C(C=CC3=C2C=CS3)S1 C1=CC2=C(S1)[CH:1]=[CH:2]C1=C2C=[CH:2]S1
C1=CC2=C(C=CC3=C2C=CS3)S1 C1=CC2=C(S1)[CH:2]=[CH:2]C1=C2C=[CH:1]S1
C1=CC2=C(C=CC3=NSN=C32)C2=NSN=C12 C1=CC2=C(C3=NSN=C13)[CH:1]=CC1=NSN=C12
C1=CC2=C(C=CC3=NSN=C32)C2=NSN=C12 C1=CC2=C(C=[CH:1]C3=NSN=C23)C2=NSN=C12
